number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_frequency,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
64,0.8432190091907644,2024-11-28 09:28:34.065002,2024-11-28 09:28:49.010560,0 days 00:00:14.945558,11,log2,0.1382235183082688,2,9,650,COMPLETE
65,0.8434880071732795,2024-11-28 09:28:49.012834,2024-11-28 09:28:53.470792,0 days 00:00:04.457958,12,sqrt,0.20563856254711607,4,17,200,COMPLETE
66,0.8432190091907643,2024-11-28 09:28:53.473227,2024-11-28 09:29:08.599698,0 days 00:00:15.126471,15,sqrt,0.1700423287475241,1,15,600,COMPLETE
67,0.8428603452140775,2024-11-28 09:29:08.603057,2024-11-28 09:29:19.378622,0 days 00:00:10.775565,14,log2,0.2192747686725879,1,19,500,COMPLETE
68,0.8432190091907644,2024-11-28 09:29:19.380981,2024-11-28 09:29:30.238479,0 days 00:00:10.857498,13,sqrt,0.09719312577630725,3,20,550,COMPLETE
69,0.8415601882985877,2024-11-28 09:29:30.241307,2024-11-28 09:29:47.926747,0 days 00:00:17.685440,12,sqrt,0.15308676432903714,18,14,850,COMPLETE
70,0.8428155122169917,2024-11-28 09:29:47.928240,2024-11-28 09:29:57.259834,0 days 00:00:09.331594,15,log2,0.1837257489933497,5,17,400,COMPLETE
71,0.8427258462228201,2024-11-28 09:29:57.262494,2024-11-28 09:30:00.789233,0 days 00:00:03.526739,12,sqrt,0.20057622954100185,4,17,150,COMPLETE
72,0.8423223492490474,2024-11-28 09:30:00.791994,2024-11-28 09:30:07.583544,0 days 00:00:06.791550,13,sqrt,0.2127495938151775,2,18,300,COMPLETE
73,0.8436225061645372,2024-11-28 09:30:07.587137,2024-11-28 09:30:12.161170,0 days 00:00:04.574033,11,sqrt,0.23263602856833232,3,16,200,COMPLETE
74,0.843667339161623,2024-11-28 09:30:12.163280,2024-11-28 09:30:18.950943,0 days 00:00:06.787663,11,sqrt,0.23060652827401185,3,16,300,COMPLETE
75,0.840215198386012,2024-11-28 09:30:18.952727,2024-11-28 09:30:23.644609,0 days 00:00:04.691882,8,sqrt,0.22469884471544946,3,15,250,COMPLETE
76,0.8431293431965926,2024-11-28 09:30:23.646861,2024-11-28 09:30:27.788433,0 days 00:00:04.141572,11,sqrt,0.24643946946301915,3,13,200,COMPLETE
77,0.8427258462228199,2024-11-28 09:30:27.790801,2024-11-28 09:30:32.899713,0 days 00:00:05.108912,10,sqrt,0.2349343884788553,2,16,250,COMPLETE
78,0.8418291862811028,2024-11-28 09:30:32.900942,2024-11-28 09:30:36.364414,0 days 00:00:03.463472,11,sqrt,0.258427263790005,15,9,150,COMPLETE
79,0.8416946872898453,2024-11-28 09:30:36.366805,2024-11-28 09:30:41.890794,0 days 00:00:05.523989,9,sqrt,0.28309267451342,2,14,300,COMPLETE
80,0.841784353284017,2024-11-28 09:30:41.893573,2024-11-28 09:30:49.090619,0 days 00:00:07.197046,10,sqrt,0.2382922486219322,5,18,400,COMPLETE
81,0.843398341179108,2024-11-28 09:30:49.092773,2024-11-28 09:30:52.221222,0 days 00:00:03.128449,12,sqrt,0.1135049113797433,1,16,150,COMPLETE
82,0.8429948442053352,2024-11-28 09:30:52.222553,2024-11-28 09:31:09.434693,0 days 00:00:17.212140,13,sqrt,0.18443964946407002,1,16,700,COMPLETE
83,0.8423223492490471,2024-11-28 09:31:09.437656,2024-11-28 09:31:27.974618,0 days 00:00:18.536962,14,sqrt,0.1673940771285372,1,19,800,COMPLETE
84,0.8425913472315625,2024-11-28 09:31:27.977173,2024-11-28 09:31:34.824838,0 days 00:00:06.847665,12,sqrt,0.13228452384845094,4,15,300,COMPLETE
85,0.8432638421878502,2024-11-28 09:31:34.827482,2024-11-28 09:31:40.564004,0 days 00:00:05.736522,11,log2,0.06548008288509452,2,17,250,COMPLETE
86,0.8437121721587089,2024-11-28 09:31:40.564913,2024-11-28 09:31:50.308083,0 days 00:00:09.743170,13,sqrt,0.01003787666742122,3,20,350,COMPLETE
87,0.8422775162519616,2024-11-28 09:31:50.310665,2024-11-28 09:31:59.876664,0 days 00:00:09.565999,13,sqrt,0.015625232295413398,4,20,350,COMPLETE
88,0.8422326832548755,2024-11-28 09:31:59.880271,2024-11-28 09:32:09.419650,0 days 00:00:09.539379,11,sqrt,0.050626951802213604,3,20,400,COMPLETE
89,0.8431293431965926,2024-11-28 09:32:09.424034,2024-11-28 09:32:17.309730,0 days 00:00:07.885696,14,sqrt,0.03390003632850846,3,19,350,COMPLETE
